タスク名,項目名,読み上げテキスト,秒数,順番,アイコン,メモ
朝ベッド,目覚め,おはよう！今日も生きててえらい。まずは目を開けた自分を褒めよう。その調子で、ゆっくり深呼吸を1回してみよう。,10,1,fa-solid fa-bed,
朝ベッド,伸び,素晴らしい！次は布団の中で大きく手足を伸ばして、グーっと伸びをするよ。筋肉を目覚めさせると脳も起きるんだ。,15,2,fa-solid fa-bed,
朝ベッド,水分補給,ナイスストレッチ！もし近くに水があったら一口飲んで。寝起きの一杯は自律神経を整える最強のスイッチだよ。,15,3,fa-solid fa-mug-hot,
朝ベッド,上半身起こし,いい感じ。じゃあ、上半身だけ起こしてみよう。「よいしょ」って声に出すと、脳が動き出しやすくなるよ！,10,4,fa-solid fa-bed,
朝ベッド,足をつく,完璧！そのままベッドの端に座って、両足を床につけよう。これでグラウンディング完了。もう勝ったも同然！,10,5,fa-solid fa-person-walking,
朝ベッド,立ち上がり,さあ、立ち上がるよ！3、2、1、はい起立！すごい、重力に勝った！今日の君は無敵だ！,10,6,fa-solid fa-person-running,
朝ルーチン,トイレへ移動,ベッド脱出成功！まずはトイレに行こう。生理現象を我慢しないのは自分を大切にする第一歩だよ。,20,1,fa-solid fa-toilet,
朝ルーチン,洗面所へ,スッキリしたね。次は洗面所の鏡の前に立とう。鏡の中の自分に「おはよう」って言えたら天才！,15,2,fa-solid fa-sink,
朝ルーチン,洗顔,顔を洗うよ。冷たい水は「潜水反射」を引き起こして、心拍数を落ち着かせてリフレッシュさせる効果があるんだって。さっぱりしよう！,45,3,fa-solid fa-hand-holding-droplet,
朝ルーチン,歯磨き,次は歯磨き。2分だけやる気を出そう。「作業興奮」といって、やり始めるとやる気は後からついてくるんだよ。ゴシゴシ！,120,4,fa-solid fa-tooth,
朝ルーチン,着替え,ピカピカだね！次は着替え。今日着る服を直感で選んで着ちゃおう。決断を早くするのは「決定疲労」を防ぐコツだよ。,180,5,fa-solid fa-shirt,
トイレルーチン,入室・着席,トイレに入ったね。まずは座って一息。ここは世界で一番落ち着ける個室だよ。,10,1,fa-solid fa-toilet,
トイレルーチン,スマホ確認,もしスマホを持っていたら、タイマーを意識して。トイレでの長居は痔のリスクを高めるっていう医学的な事実があるんだ。気をつけて！,10,2,fa-solid fa-mobile-screen,
トイレルーチン,用を足す,リラックスして、出すものを出し切ろう。副交感神経を優位にして、体のデトックスタイム。,60,3,fa-solid fa-toilet,
トイレルーチン,清掃・退出,スッキリ！流して、手を洗って出よう。一つタスクを完了させたね。その切り替えの早さが素晴らしい！,30,4,fa-solid fa-broom,
外出準備,持ち物確認,さあ出かける準備だ。財布、スマホ、鍵。この「三種の神器」さえあれば、あとはなんとかなる！確認してみて。,30,1,fa-solid fa-briefcase,
外出準備,火の元・戸締まり,完璧。次は火の元と窓の確認。「指差し確認」はミスを8割減らすって鉄道会社でも採用されてる最強の確認方法だよ。,30,2,fa-solid fa-fire-burner,
外出準備,靴を履く,安心だね。靴を履こう。かかとをトントンしてしっかり履くと、歩く姿勢が良くなって気分も前向きになるよ。,20,3,fa-solid fa-shoe-prints,
外出準備,出発,ドアを開けて外へGO！一歩踏み出した君は最高に輝いてるよ。いってらっしゃい！,10,4,fa-solid fa-door-open,
帰宅ルーチン,鍵の定位置,おかえりなさい！無事に帰ってきてえらい！まずは鍵をいつもの「定位置」に置こう。これが未来の自分へのプレゼント。,10,1,fa-solid fa-key,
帰宅ルーチン,靴を脱ぐ,靴を脱いで揃えよう。玄関が整うと、帰ってきた瞬間の脳のストレスが減るんだよ。ナイス！,10,2,fa-solid fa-shoe-prints,
帰宅ルーチン,手洗い・うがい,洗面所へ直行！手洗いとうがいでウイルスを撃退。自分の体を守る君はプロフェッショナルだね。,60,3,fa-solid fa-hand-holding-droplet,
帰宅ルーチン,着替え,部屋着に着替えよう。外の鎧を脱いで、リラックスモードにスイッチオン。オンオフの切り替えが上手だね！,120,4,fa-solid fa-shirt,
帰宅ルーチン,荷物整理,最後に鞄の中身を全部出そう。不要なレシートを捨てるだけで、金運もアップしそうな気がしない？これで今日の任務は完了！,180,5,fa-solid fa-briefcase,
夜ルーチン,片付け,さあ、寝る準備の第一歩。5分だけタイマーをかけて、目につくゴミを捨てよう。「5分だけ」なら脳は抵抗感を抱きにくいんだ。,300,1,fa-solid fa-broom,
